Order ID,Product,Quantity Ordered,Price Each,Order Date,Street Address,City,State
182428,Bose SoundSport Headphones,1,99.99,2022-01-18 12:04:00,713 Washington St,Los Angeles,CA
182431,Wired Headphones,2,11.99,2022-01-02 15:11:00,84 1st St,Portland,ME
182432,27in FHD Monitor,1,149.99,2022-01-30 13:46:00,982 Main St,Boston,MA
182435,Apple Airpods Headphones,1,150.0,2022-01-22 15:14:00,155 Hill St,Seattle,WA
182444,34in Ultrawide Monitor,1,379.99,2022-01-01 22:36:00,519 Chestnut St,Boston,MA
182445,Lightning Charging Cable,2,14.95,2022-01-23 19:56:00,85 8th St,Austin,TX
182449,27in FHD Monitor,1,149.99,2022-01-26 12:17:00,208 1st St,Portland,OR
182449,USB-C Charging Cable,1,11.95,2022-01-26 12:17:00,208 1st St,Portland,OR
182471,AA Batteries (4-pack),2,3.84,2022-01-22 23:41:00,474 11th St,Seattle,WA
182474,Flatscreen TV,1,300.0,2022-01-28 08:28:00,295 2nd St,New York City,NY
182478,Wired Headphones,2,11.99,2022-01-08 09:33:00,191 River St,Portland,OR
182492,Bose SoundSport Headphones,1,99.99,2022-01-19 12:31:00,712 Highland St,Seattle,WA
182508,Wired Headphones,2,11.99,2022-01-29 10:18:00,356 Hickory St,Austin,TX
182511,Lightning Charging Cable,2,14.95,2022-01-24 23:51:00,461 4th St,Seattle,WA
182530,Bose SoundSport Headphones,1,99.99,2022-01-19 23:19:00,35 River St,Los Angeles,CA
182544,AAA Batteries (4-pack),2,2.99,2022-01-01 10:31:00,909 Lakeview St,Los Angeles,CA
182546,AA Batteries (4-pack),4,3.84,2022-01-06 09:25:00,313 Main St,Seattle,WA
182549,Apple Airpods Headphones,1,150.0,2022-01-07 20:59:00,37 Center St,Atlanta,GA
182552,Google Phone,1,600.0,2022-01-05 16:03:00,657 River St,Portland,ME
182553,AAA Batteries (4-pack),2,2.99,2022-01-09 11:32:00,345 Highland St,Los Angeles,CA
182557,34in Ultrawide Monitor,1,379.99,2022-01-22 19:19:00,190 Lakeview St,San Francisco,CA
182562,Lightning Charging Cable,2,14.95,2022-01-09 16:32:00,920 2nd St,Portland,ME
182564,Bose SoundSport Headphones,1,99.99,2022-01-15 15:58:00,223 Church St,Boston,MA
182566,34in Ultrawide Monitor,1,379.99,2022-01-05 16:14:00,573 Center St,San Francisco,CA
182566,USB-C Charging Cable,1,11.95,2022-01-05 16:14:00,573 Center St,San Francisco,CA
182570,iPhone,1,800.0,2022-01-17 17:30:00,400 Madison St,Atlanta,GA
182571,AAA Batteries (4-pack),2,2.99,2022-01-17 12:05:00,531 8th St,Los Angeles,CA
182575,Lightning Charging Cable,2,14.95,2022-01-18 22:43:00,270 Jackson St,Portland,ME
182582,Apple Airpods Headphones,1,150.0,2022-01-04 19:16:00,963 Ridge St,Los Angeles,CA
182585,USB-C Charging Cable,2,11.95,2022-01-24 23:11:00,124 8th St,Seattle,WA
182603,Apple Airpods Headphones,1,150.0,2022-01-29 20:44:00,465 Lincoln St,Atlanta,GA
182605,Bose SoundSport Headphones,1,99.99,2022-01-07 20:09:00,122 Sunset St,Los Angeles,CA
182606,Bose SoundSport Headphones,1,99.99,2022-01-23 18:35:00,224 Highland St,Los Angeles,CA
182609,Apple Airpods Headphones,1,150.0,2022-01-04 12:03:00,44 7th St,Los Angeles,CA
182612,USB-C Charging Cable,1,11.95,2022-01-23 15:28:00,341 Willow St,San Francisco,CA
182618,USB-C Charging Cable,2,11.95,2022-01-14 18:18:00,832 Lincoln St,Austin,TX
182622,AAA Batteries (4-pack),2,2.99,2022-01-10 11:27:00,427 1st St,Austin,TX
182638,Flatscreen TV,1,300.0,2022-01-02 03:04:00,923 River St,Atlanta,GA
182664,27in FHD Monitor,1,149.99,2022-01-16 17:10:00,132 Jackson St,Portland,ME
182673,27in 4K Gaming Monitor,1,389.99,2022-01-02 05:47:00,451 Cherry St,Portland,ME
182674,Flatscreen TV,1,300.0,2022-01-23 14:05:00,139 Walnut St,Seattle,WA
182676,Wired Headphones,1,11.99,2022-01-28 23:14:00,430 2nd St,Atlanta,GA
182686,AA Batteries (4-pack),1,3.84,2022-01-23 13:32:00,750 Maple St,Boston,MA
182692,Wired Headphones,1,11.99,2022-01-29 16:18:00,594 Forest St,New York City,NY
182693,Wired Headphones,2,11.99,2022-01-03 12:22:00,956 Pine St,Portland,OR
182707,iPhone,1,800.0,2022-01-02 11:39:00,192 West St,Los Angeles,CA
182707,Apple Airpods Headphones,1,150.0,2022-01-02 11:39:00,192 West St,Los Angeles,CA
182715,34in Ultrawide Monitor,1,379.99,2022-01-01 19:11:00,91 Lakeview St,Dallas,TX
182717,Bose SoundSport Headphones,1,99.99,2022-01-03 14:58:00,773 Meadow St,Portland,OR
182719,Google Phone,1,600.0,2022-01-08 18:17:00,103 North St,Seattle,WA
182724,27in 4K Gaming Monitor,1,389.99,2022-01-05 20:04:00,113 Cherry St,Portland,ME
182728,Lightning Charging Cable,1,14.95,2022-01-19 22:23:00,260 Madison St,San Francisco,CA
182734,Apple Airpods Headphones,1,150.0,2022-01-02 11:40:00,989 Walnut St,Los Angeles,CA
182735,27in 4K Gaming Monitor,1,389.99,2022-01-23 18:16:00,811 Lakeview St,San Francisco,CA
182736,Vareebadd Phone,1,400.0,2022-01-28 15:41:00,781 Walnut St,Atlanta,GA
182736,Wired Headphones,1,11.99,2022-01-28 15:41:00,781 Walnut St,Atlanta,GA
182738,USB-C Charging Cable,1,11.95,2022-01-29 21:03:00,527 Maple St,Los Angeles,CA
182739,Bose SoundSport Headphones,1,99.99,2022-01-30 08:23:00,238 Washington St,Dallas,TX
182743,USB-C Charging Cable,4,11.95,2022-01-28 21:18:00,906 Jefferson St,Dallas,TX
182746,USB-C Charging Cable,2,11.95,2022-01-27 20:18:00,610 Dogwood St,Los Angeles,CA
182750,Apple Airpods Headphones,1,150.0,2022-01-30 15:54:00,62 Pine St,San Francisco,CA
